time,ac-x,ac-y,ac-z,gyr-x,gyr-y,gyr-z
2020-02-12 13:31:07.837,-4.572510,4.609131,-2.042480,33.020020,91.766350,204.193100
2020-02-12 13:31:07.840,-4.574219,4.757324,-2.011719,37.231445,88.806145,202.484116
2020-02-12 13:31:07.842,-4.606934,4.913818,-1.993164,30.059813,90.362541,210.632309
2020-02-12 13:31:07.845,-4.695313,5.076172,-1.982178,31.066893,96.466057,230.529770
2020-02-12 13:31:07.847,-4.780518,5.237305,-1.975342,35.858154,103.149406,233.612045
2020-02-12 13:31:07.849,-4.837158,5.384033,-1.971191,42.541500,108.856194,225.952133
2020-02-12 13:31:07.852,-4.865723,5.511230,-1.956543,50.628658,112.518303,217.468246
2020-02-12 13:31:07.855,-4.875488,5.621826,-1.932129,55.908199,115.936272,209.808334
2020-02-12 13:31:07.857,-4.860352,5.718506,-1.899658,61.431881,118.713371,196.655258
2020-02-12 13:31:07.859,-4.826660,5.795654,-1.875244,68.786621,120.666496,184.844955
2020-02-12 13:31:07.862,-4.786377,5.846436,-1.856934,72.540283,121.734612,171.478256
2020-02-12 13:31:07.864,-4.743896,5.877441,-1.844727,73.547363,121.429436,158.599854
2020-02-12 13:31:07.867,-4.712158,5.891113,-1.835693,75.378418,120.941154,148.559570
2020-02-12 13:31:07.869,-4.688965,5.893311,-1.822266,75.653076,121.795647,140.502930
2020-02-12 13:31:07.872,-4.657227,5.875244,-1.801270,77.697754,121.795647,129.364014
2020-02-12 13:31:07.875,-4.602295,5.828613,-1.773193,78.735352,120.208733,114.379875
2020-02-12 13:31:07.877,-4.518555,5.756104,-1.737793,79.559326,115.692131,100.006096
2020-02-12 13:31:07.880,-4.409668,5.664307,-1.688721,78.186035,109.161369,85.144035
2020-02-12 13:31:07.882,-4.268799,5.552979,-1.624756,74.035645,101.928703,69.122314
2020-02-12 13:31:07.885,-4.100342,5.425049,-1.549805,69.763184,92.529289,53.680416
2020-02-12 13:31:07.887,-3.924805,5.287354,-1.471924,63.140865,81.176750,41.656490
2020-02-12 13:31:07.889,-3.769775,5.149414,-1.399414,51.818844,70.404053,36.010742
2020-02-12 13:31:07.892,-3.647217,5.014893,-1.334473,39.093018,62.042233,38.391113
2020-02-12 13:31:07.895,-3.552979,4.887451,-1.275391,29.418943,54.718014,44.769283
2020-02-12 13:31:07.897,-3.474121,4.764648,-1.216309,19.317627,47.546383,49.896236
2020-02-12 13:31:07.899,-3.392578,4.645508,-1.153564,11.260985,38.513184,54.901119
